n,median,floor,p25,pct_neg,model,thr
13,0.38904877741382954,-0.051136268198789726,0.2610676371037165,0.07692307692307693,prototype_4cls,0.0
13,0.4001487007719968,-0.0477917266602666,0.2689349920028669,0.07692307692307693,prototype_4cls,0.1
13,0.42554254348959203,-0.023443912147902347,0.2914061513945372,0.07692307692307693,prototype_4cls,0.15
13,0.4459366918814961,-0.017522248640565775,0.30882136832313384,0.07692307692307693,prototype_4cls,0.2
13,0.4517172004733584,0.01248475175916423,0.37238407985705735,0.0,prototype_4cls,0.25
13,0.5217633110859967,0.048062282904733265,0.4262665378762972,0.0,prototype_4cls,0.3
13,0.42738347247481034,0.0673199654216719,0.3881155672489374,0.0,binary,0.0
13,0.5322378496388485,0.1552482895567698,0.47182786392517806,0.0,binary,0.1
13,0.5784368744604024,0.17944221757905635,0.48393541882676977,0.0,binary,0.15
13,0.7491111433493063,0.3038069053095314,0.6779915120073533,0.0,binary,0.2
13,0.8053984134777984,0.40846011903513646,0.7188323295396173,0.0,binary,0.25
13,0.6800325716845886,0.6056998155080843,0.6593098783629034,0.0,binary,0.3
13,0.14287079453446375,-0.2910886485463149,-0.003504482371561169,0.3076923076923077,binary_no_macro,0.0
13,0.20341544791899208,-0.21743081867698272,0.07971604622827731,0.23076923076923078,binary_no_macro,0.1
13,0.21162021337480036,-0.21594281446959193,0.12247838685859114,0.15384615384615385,binary_no_macro,0.15
13,0.22182174620484202,-0.20172092727444385,0.16502798985734435,0.15384615384615385,binary_no_macro,0.2
13,0.3914478724926449,0.0007908585039157983,0.32659113878746754,0.0,binary_no_macro,0.25
13,0.40100641243130014,0.013271004232633984,0.3422258496158128,0.0,binary_no_macro,0.3
13,0.15233694668298225,-0.6279865631372028,-0.22397042264395936,0.46153846153846156,no_macro_4cls,0.0
13,0.16744068758333808,-0.6236165449767669,-0.218106552397895,0.46153846153846156,no_macro_4cls,0.1
13,0.18328965619981716,-0.618123918698992,-0.20979234874122996,0.46153846153846156,no_macro_4cls,0.15
13,0.1785401976431806,-0.594649798535056,-0.21200940717013422,0.46153846153846156,no_macro_4cls,0.2
13,0.218562830266789,-0.5783353948417872,-0.1552289000239541,0.38461538461538464,no_macro_4cls,0.25
13,0.30237104381543056,-0.5328639483230547,-0.039136280838044685,0.3076923076923077,no_macro_4cls,0.3
