rank,feature,gain,gain_pct,cumulative_pct
1,nATR,149.4678955078125,11.92,11.92
2,Dist_From_20D_Low,71.66026306152344,5.71,17.63
3,pe_ratio,59.638423919677734,4.76,22.39
4,operating_margin,57.05328369140625,4.55,26.94
5,alpha041,54.022422790527344,4.31,31.25
6,Price_vs_SMA_200,50.53902053833008,4.03,35.28
7,alpha011,48.640750885009766,3.88,39.16
8,RS,47.46074676513672,3.78,42.94
9,alpha013,47.003334045410156,3.75,46.69
10,Dist_From_52W_High,45.788429260253906,3.65,50.34
11,revenue_accel,41.527809143066406,3.31,53.65
12,RS_Delta,41.14844512939453,3.28,56.93
13,eps_accel,34.90290069580078,2.78,59.71
14,alpha101,34.81269454956055,2.78,62.49
15,breakout_momentum,34.77954864501953,2.77,65.26
16,alpha009,34.335174560546875,2.74,68.0
17,eps_growth_yoy,33.961517333984375,2.71,70.71
18,alpha051,33.170494079589844,2.65,73.36
19,VCP_Ratio,32.8280029296875,2.62,75.98
20,Dry_Up_Volume,32.43042755126953,2.59,78.57
21,price_momentum_curve,32.226783752441406,2.57,81.14
22,alpha049,31.93280029296875,2.55,83.69
23,rs_velocity,31.639373779296875,2.52,86.21
24,Price_vs_SMA_50,30.991012573242188,2.47,88.68
25,alpha046,30.51338005065918,2.43,91.11
26,volume_acceleration,30.288389205932617,2.42,93.53
27,SMA_50_Slope,29.301057815551758,2.34,95.87
28,alpha060,28.36583709716797,2.26,98.13
29,consolidation_duration,23.49816131591797,1.87,100.0
